PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KH2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,H2-5 bar (mol/kg)
8.66316,9.75189,7570.58984,0.80797,1.27E-06,50.3875969,43.41085271,3.100775194,3.100775194,0,0,0,0.615821254
23.74486,28.52567,8234.7998,0.94201,3.89E-06,50.3875969,43.41085271,3.100775194,3.100775194,0,0,0,1.876667784
26.74378,26.95282,2042.22998,0.76682,7.81E-07,57.37704918,36.06557377,3.278688525,0,0,0,3.278688525,0.388997566
13.27242,13.43696,3224.87012,0.73991,9.30E-07,60.6557377,32.78688525,3.278688525,0,0,0,3.278688525,0.464860704
21.96829,23.32506,3348.3501,0.82912,1.29E-06,56.12903226,34.83870968,5.161290323,0,0,0,3.870967742,0.623722888
21.6188,27.24002,7688.12988,0.93364,3.28E-06,56.12903226,34.83870968,5.161290323,0,0,0,3.870967742,1.59693857
46.90899,47.73559,7433.39014,0.94423,3.89E-06,61.30653266,35.67839196,3.015075377,0,0,0,0,1.94143576
7.14942,8.65264,2895.08008,0.68835,7.71E-07,56.38297872,38.29787234,4.255319149,0,1.063829787,0,0,0.380176654
13.62197,13.99378,1585.51001,0.64561,4.87E-07,60,20,10,10,0,0,0,0.238643878
27.87325,28.05828,1860.05005,0.76518,7.44E-07,57.89473684,26.31578947,10.52631579,5.263157895,0,0,0,0.370951754
16.60556,16.94837,1579.09998,0.67289,6.20E-07,62.22222222,28.88888889,4.444444444,4.444444444,0,0,0,0.306705886
8.10818,8.32513,1686.30005,0.61247,3.57E-07,56.98924731,38.70967742,4.301075269,0,0,0,0,0.177881665
25.93049,26.13967,2182.75,0.77892,8.42E-07,55.55555556,35.55555556,8.888888889,0,0,0,0,0.41684563
20.59917,20.89927,2428.56006,0.7619,7.67E-07,50.87719298,40.35087719,8.771929825,0,0,0,0,0.379185522
21.78847,22.30685,2786.88989,0.80365,8.96E-07,49.15254237,38.98305085,8.474576271,3.389830508,0,0,0,0.442947351
13.19498,13.6119,2485.48999,0.70778,7.02E-07,55.2,35.2,9.6,0,0,0,0,0.348233334
20.05155,20.15142,1730.32996,0.71855,6.35E-07,55.67010309,22.68041237,2.06185567,12.37113402,6.18556701,0,1.030927835,0.313604395
24.96336,25.19238,1824.45996,0.74542,7.06E-07,59.437751,24.89959839,0.803212851,9.638554217,4.819277108,0,0.401606426,0.350680598
24.69892,24.93763,1883.63,0.74988,6.85E-07,59.67741935,25.80645161,0,9.677419355,4.838709677,0,0,0.341342567
19.84165,19.9592,1674.27002,0.71287,6.18E-07,55.38461538,21.53846154,3.076923077,12.30769231,6.153846154,0,1.538461538,0.307051349
21.69712,21.95262,1768.96997,0.73991,6.64E-07,58.18181818,25.45454545,0,10.90909091,5.454545455,0,0,0.324309857
22.47817,22.6997,1808.26001,0.74656,7.08E-07,58.62068966,24.13793103,0,10.34482759,5.172413793,0,1.724137931,0.351540091
25.0438,25.10023,1660.41003,0.73194,6.64E-07,55.95854922,19.68911917,1.03626943,12.43523316,6.21761658,0,4.663212435,0.329145595
22.67623,22.92293,1691,0.72086,6.37E-07,55.76923077,21.15384615,3.846153846,11.53846154,5.769230769,0,1.923076923,0.313217848
23.46285,23.75776,1515.57996,0.66567,4.19E-07,56.75675676,37.83783784,2.702702703,2.702702703,0,0,0,0.207160893
13.70432,14.13053,1457.34998,0.58288,3.13E-07,60.71428571,35.71428571,3.571428571,0,0,0,0,0.154612706
22.224,22.39215,2042.81995,0.72637,7.13E-07,56.25,37.5,6.25,0,0,0,0,0.352907689
21.36833,21.48304,1979.19995,0.72099,6.65E-07,55.31914894,36.17021277,8.510638298,0,0,0,0,0.329427902
22.22172,22.36485,2120.12988,0.73931,7.05E-07,54.34782609,34.7826087,10.86956522,0,0,0,0,0.349766022
23.17624,23.40945,2214.70996,0.74871,7.52E-07,56.25,37.5,6.25,0,0,0,0,0.372401479
21.25089,21.50177,2008.43994,0.73586,6.49E-07,53.33333333,33.33333333,13.33333333,0,0,0,0,0.321667472
10.72475,11.19018,1657.84998,0.62206,4.58E-07,55.55555556,33.33333333,11.11111111,0,0,0,0,0.228555974
8.6641,9.32195,3931.17993,0.75135,1.04E-06,55.48387097,34.19354839,7.741935484,2.580645161,0,0,0,0.510274704
4.18905,5.26587,1124.96997,0.54305,5.36E-07,48.97959184,32.65306122,8.163265306,8.163265306,2.040816327,0,0,0.259462862
5.43904,6.14398,940.74701,0.49674,3.90E-07,48.57142857,40,5.714285714,5.714285714,0,0,0,0.189174711
5.5655,6.68673,4240.5,0.71314,8.85E-07,50,33.33333333,5.555555556,11.11111111,0,0,0,0.4324424
15.82205,16.15913,1673.93005,0.66965,4.90E-07,50,33.33333333,8.333333333,8.333333333,0,0,0,0.241839484
18.38514,18.68522,1915.88,0.69747,5.76E-07,53.57142857,35.71428571,3.571428571,3.571428571,3.571428571,0,0,0.286371166
24.58813,24.8265,2116.58008,0.77067,7.53E-07,56.75675676,32.43243243,2.702702703,5.405405405,2.702702703,0,0,0.375707555
13.06993,13.36641,2048.83008,0.71219,5.59E-07,37.5,25,6.25,25,0,0,6.25,0.276921253
30.47904,30.66931,2327.32007,0.79697,9.02E-07,55,35,10,0,0,0,0,0.448730082
31.27516,31.45428,2336.56006,0.79326,9.26E-07,57.14285714,38.0952381,4.761904762,0,0,0,0,0.463026865
7.29195,7.84595,1135.95996,0.53672,3.52E-07,42.85714286,28.57142857,14.28571429,14.28571429,0,0,0,0.173090529
17.58343,18.27716,1773.67004,0.66572,4.05E-07,39.13043478,39.13043478,8.695652174,13.04347826,0,0,0,0.200762974
22.5277,22.77277,1915.95996,0.75436,6.46E-07,41.17647059,29.41176471,11.76470588,17.64705882,0,0,0,0.3209519
22.43977,22.68169,1881.15002,0.7546,6.35E-07,41.17647059,29.41176471,11.76470588,17.64705882,0,0,0,0.31495271
12.42896,12.69956,2449.11011,0.74688,6.16E-07,42.85714286,28.57142857,7.142857143,17.85714286,0,0,3.571428571,0.305047714
17.47742,18.54395,4369.33984,0.8274,1.44E-06,55.55555556,35.18518519,7.407407407,1.851851852,0,0,0,0.709464207
18.13247,18.45428,1721.52002,0.69899,5.92E-07,55.17241379,34.48275862,6.896551724,3.448275862,0,0,0,0.295715006
9.98996,10.38774,1940.79004,0.64973,4.99E-07,57.57575758,36.36363636,3.03030303,3.03030303,0,0,0,0.246401206
8.64917,8.96817,1737.18994,0.60444,4.40E-07,56.52173913,37.68115942,2.898550725,2.898550725,0,0,0,0.216618367
9.37472,9.86201,1816.55005,0.63382,4.37E-07,55.55555556,38.88888889,2.777777778,2.777777778,0,0,0,0.216037379
41.06296,41.12154,3056.12988,0.8526,1.28E-06,54.05405405,37.83783784,5.405405405,0,0,2.702702703,0,0.638867356
11.8173,12.27783,1800.68994,0.63545,4.52E-07,57.89473684,36.84210526,5.263157895,0,0,0,0,0.225404869
28.43647,28.96424,5069.41016,0.89247,2.09E-06,52.63157895,36.84210526,5.263157895,0,0,0,5.263157895,0.976196732
13.03327,14.34726,7485.87988,0.89029,1.99E-06,52.63157895,36.84210526,5.263157895,0,0,0,5.263157895,0.984632044
33.82956,34.43726,7853.47021,0.90719,2.50E-06,55.71428571,38.57142857,4.285714286,0,0,0,1.428571429,1.243312902
13.41753,13.74617,1872.09998,0.67757,5.34E-07,58.20895522,35.82089552,5.970149254,0,0,0,0,0.26518684
21.38827,21.50274,2279.72998,0.75175,7.72E-07,58.7628866,37.11340206,4.12371134,0,0,0,0,0.384018683
27.70128,27.83857,2364.04004,0.78612,9.35E-07,60,39.23076923,0.769230769,0,0,0,0,0.465839788
17.50373,17.88578,1941.65002,0.72331,6.33E-07,57,30,10,0,0,0,3,0.315123766
25.18439,25.57281,2023.07996,0.73861,6.18E-07,51.42857143,40,2.857142857,5.714285714,0,0,0,0.306147762
21.04661,23.73233,5283.08008,0.85428,1.60E-06,56.25,25,0,12.5,6.25,0,0,0.783235549
22.06437,22.30064,1700.55005,0.71373,6.56E-07,56.25,25,0,12.5,6.25,0,0,0.325153486
23.17624,23.40945,2195.92993,0.74871,7.52E-07,56.25,37.5,6.25,0,0,0,0,0.374984515
10.72475,11.19018,1651.53003,0.62165,4.56E-07,55.55555556,33.33333333,11.11111111,0,0,0,0,0.22471818
21.00102,21.6781,2653.1499,0.78306,8.31E-07,61.33333333,28,5.333333333,5.333333333,0,0,0,0.407764308
17.4324,17.68848,1446.43005,0.70397,6.84E-07,56.89655172,25.86206897,6.896551724,10.34482759,0,0,0,0.337921271
18.96217,19.42127,2941.83008,0.75835,8.73E-07,56.89655172,25.86206897,6.896551724,10.34482759,0,0,0,0.429713633
20.63214,20.85688,2091,0.7371,8.15E-07,59.09090909,27.27272727,4.545454545,9.090909091,0,0,0,0.404719155
23.24997,23.52769,2544.03003,0.77318,9.94E-07,59.09090909,27.27272727,4.545454545,9.090909091,0,0,0,0.492589961
31.96671,32.11311,3197.12988,0.80917,1.11E-06,59.375,31.25,3.125,6.25,0,0,0,0.542470465
13.4128,17.50771,5107.4502,0.87765,1.64E-06,51.72413793,27.5862069,6.896551724,13.79310345,0,0,0,0.808923171
8.17402,11.20454,4119.8999,0.76148,1.03E-06,58.44155844,25.97402597,5.194805195,10.38961039,0,0,0,0.512266842
29.13681,29.3046,1693.31006,0.75974,6.89E-07,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0,0.33804718
12.96649,13.32277,1218.46997,0.5881,3.79E-07,53.65853659,31.70731707,9.756097561,4.87804878,0,0,0,0.187468522
7.64839,9.02068,3724.90991,0.71715,1.27E-06,56.60377358,35.8490566,7.547169811,0,0,0,0,0.62348149
26.88207,27.08872,1641.29004,0.73506,6.79E-07,58.66666667,30.66666667,5.333333333,5.333333333,0,0,0,0.336672666
25.81935,26.00686,1565.29004,0.72041,6.51E-07,59.25925926,30.86419753,4.938271605,4.938271605,0,0,0,0.321523139
16.51179,16.92871,2255.54004,0.6617,4.92E-07,51.28205128,38.46153846,5.128205128,5.128205128,0,0,0,0.245153965
12.62514,13.13528,1791.75,0.6224,4.31E-07,51.28205128,38.46153846,5.128205128,5.128205128,0,0,0,0.211259322
13.33488,13.7075,1332.06006,0.56729,3.16E-07,57.14285714,28.57142857,0,7.142857143,7.142857143,0,0,0.157332459
25.90948,26.12067,2783.37012,0.80742,1.06E-06,50,43.33333333,5,1.666666667,0,0,0,0.524690187
23.27554,23.57254,1502.47998,0.669,4.15E-07,56.36363636,37.27272727,3.636363636,2.727272727,0,0,0,0.204560878
23.16359,23.45655,1734.84998,0.7009,5.16E-07,60.20408163,35.71428571,4.081632653,0,0,0,0,0.256750317
23.35047,23.64665,1512.73999,0.66246,4.10E-07,56.75675676,37.83783784,2.702702703,2.702702703,0,0,0,0.204781188
23.33054,23.62181,1681.93005,0.69404,5.26E-07,62.5,34.375,3.125,0,0,0,0,0.260050771
23.1796,23.46923,1471.43005,0.66008,4.02E-07,58.33333333,36.11111111,2.777777778,2.777777778,0,0,0,0.202348041
13.98639,14.17973,1796.29004,0.66152,4.76E-07,55.17241379,34.48275862,6.896551724,0,0,3.448275862,0,0.235993426
15.86913,16.40349,1832.97998,0.6872,5.62E-07,59.57446809,31.91489362,4.255319149,0,0,4.255319149,0,0.277636417
17.10324,17.25067,1967.12,0.70002,6.32E-07,59.57446809,36.17021277,4.255319149,0,0,0,0,0.310915578
8.57867,9.57067,4931.25977,0.74281,1.05E-06,59.57446809,36.17021277,4.255319149,0,0,0,0,0.514424105
20.19841,20.61346,2507.05005,0.77062,7.85E-07,58.18181818,34.54545455,7.272727273,0,0,0,0,0.388432227
16.94757,17.2834,1699.20996,0.66677,5.37E-07,57.14285714,34.69387755,4.081632653,4.081632653,0,0,0,0.265125661
23.83385,24.09674,2371.16992,0.76723,8.16E-07,61.01694915,35.59322034,3.389830508,0,0,0,0,0.405479954
21.39547,21.51866,1957.12,0.72841,6.97E-07,58.18181818,34.54545455,7.272727273,0,0,0,0,0.345373048
29.12338,29.23223,2363.71997,0.79602,9.33E-07,61.11111111,31.94444444,5.555555556,0,0,0,1.388888889,0.465675089
27.1104,27.16334,2454.73999,0.78732,8.97E-07,58.2278481,36.70886076,2.53164557,2.53164557,0,0,0,0.442171949
24.12196,24.28962,2176.04004,0.75569,7.33E-07,54.32098765,34.56790123,3.703703704,2.469135802,0,0,4.938271605,0.363227367
23.4223,23.46989,1913.72998,0.73382,6.33E-07,55.84415584,32.46753247,2.597402597,2.597402597,0,0,6.493506494,0.310067526
25.49763,25.7194,2030.47998,0.75616,7.39E-07,56.33802817,35.21126761,2.816901408,0,0,0,5.633802817,0.366385784
22.83808,23.04581,2083.53003,0.72595,6.48E-07,51.68539326,41.57303371,2.247191011,0,0,0,4.494382022,0.321415494
20.42364,20.6236,2146.65991,0.73714,7.45E-07,61.01694915,35.59322034,3.389830508,0,0,0,0,0.371914377
14.72101,14.86384,1826.75,0.65537,5.56E-07,59.45945946,35.13513514,5.405405405,0,0,0,0,0.274533852
23.31933,23.59523,2020.06006,0.73966,7.13E-07,61.11111111,31.94444444,5.555555556,0,0,0,1.388888889,0.353333248
33.38062,33.55266,1903.75,0.7857,7.69E-07,64,24,0,8,4,0,0,0.379533609
38.14163,38.29444,1972.93994,0.80779,1.00E-06,66.66666667,22.22222222,0,7.407407407,3.703703704,0,0,0.499111304
18.34897,18.8489,2376.45996,0.74755,7.56E-07,57.14285714,34.69387755,4.081632653,4.081632653,0,0,0,0.37543533
34.17223,34.32443,1722.66003,0.7754,8.11E-07,65.38461538,23.07692308,0,7.692307692,3.846153846,0,0,0.401682223
20.88178,21.18073,2259.71997,0.74867,7.57E-07,53.21100917,41.28440367,3.669724771,1.834862385,0,0,0,0.374944742
18.84527,19.12139,2232.67993,0.7327,7.00E-07,52.42718447,39.80582524,3.883495146,1.941747573,0,0,1.941747573,0.345695912
10.51966,10.62648,1147.26001,0.52451,3.45E-07,62.96296296,31.48148148,5.555555556,0,0,0,0,0.170769722
12.21247,12.67816,1753.32996,0.65241,4.61E-07,60.52631579,35.52631579,3.947368421,0,0,0,0,0.229469759
11.40458,11.82847,1715.89001,0.62688,5.54E-07,60.34482759,36.20689655,3.448275862,0,0,0,0,0.272449674
19.60462,19.70587,2130.20996,0.73657,6.84E-07,51.54639175,38.1443299,4.12371134,2.06185567,0,0,4.12371134,0.337084876
29.43949,29.73513,2576.3501,0.79851,9.23E-07,55.88235294,38.23529412,2.941176471,2.941176471,0,0,0,0.455522367
11.36249,11.81752,1587.04004,0.60062,4.60E-07,57.89473684,36.84210526,5.263157895,0,0,0,0,0.226669717
11.50736,11.99864,1713.39001,0.63608,4.34E-07,56.89655172,36.20689655,5.172413793,1.724137931,0,0,0,0.214407318
25.36985,25.71565,3347.95996,0.79845,9.75E-07,47.05882353,47.05882353,2.941176471,2.941176471,0,0,0,0.488152572
12.51715,12.95632,1588.96997,0.62212,4.62E-07,59.45945946,35.13513514,5.405405405,0,0,0,0,0.228672458
25.57106,25.87294,2193.28003,0.75881,7.39E-07,50,39.28571429,7.142857143,3.571428571,0,0,0,0.366740562
28.48568,28.5332,2389.6499,0.75774,7.96E-07,57.14285714,38.0952381,4.761904762,0,0,0,0,0.392429588
35.14301,35.24752,2645.1499,0.79061,9.25E-07,57.69230769,38.46153846,3.846153846,0,0,0,0,0.460940746
6.26088,7.27303,2316.05005,0.65096,5.58E-07,56.60377358,36.79245283,6.603773585,0,0,0,0,0.2763073
6.59713,7.29696,3786.21997,0.70345,7.72E-07,57.35294118,37.5,5.147058824,0,0,0,0,0.377003046
6.17786,6.8944,1142.02002,0.52848,3.28E-07,58.33333333,36.11111111,5.555555556,0,0,0,0,0.162925331
11.92015,12.54201,1915,0.64136,5.39E-07,56.89655172,37.93103448,5.172413793,0,0,0,0,0.268121978
9.49049,9.80036,1371.90002,0.57542,3.43E-07,55.93220339,37.28813559,6.779661017,0,0,0,0,0.169126913
16.34537,16.54609,1851.02002,0.662,5.41E-07,62.74509804,33.33333333,3.921568627,0,0,0,0,0.26752175
16.91517,17.24196,1963.31995,0.68326,5.74E-07,62.74509804,33.33333333,3.921568627,0,0,0,0,0.287625445
16.14146,16.26744,1849.31006,0.65913,5.28E-07,62.74509804,33.33333333,3.921568627,0,0,0,0,0.26142443
30.53322,30.65329,2650.09009,0.81846,1.23E-06,60.86956522,34.7826087,4.347826087,0,0,0,0,0.6134296
30.50054,30.62043,2643.08008,0.81819,1.23E-06,60.86956522,34.7826087,4.347826087,0,0,0,0,0.614562371
33.05829,33.14215,2009.68005,0.75053,9.05E-07,60.78431373,35.29411765,3.921568627,0,0,0,0,0.445491435
33.79748,33.88417,2126.71997,0.75715,9.23E-07,60.78431373,35.29411765,3.921568627,0,0,0,0,0.457197377
13.04774,13.2448,4273.2998,0.79045,1.13E-06,59.42028986,34.7826087,5.797101449,0,0,0,0,0.557504861
18.22884,18.48675,2782.98999,0.76477,8.64E-07,57.89473684,38.59649123,3.50877193,0,0,0,0,0.430374277
30.44155,30.61617,1370.85999,0.71251,5.73E-07,60.71428571,28.57142857,0,7.142857143,3.571428571,0,0,0.284708858
37.29637,37.44422,1495.81995,0.7522,6.86E-07,62.85714286,28.57142857,0,5.714285714,2.857142857,0,0,0.341257068
40.0173,40.15486,1602.42004,0.77337,7.71E-07,60.60606061,30.3030303,0,6.060606061,3.03030303,0,0,0.382344426
25.52152,25.82069,2238.55005,0.76123,7.25E-07,49.39759036,38.55421687,8.43373494,3.614457831,0,0,0,0.361333641
27.08188,27.32921,2456.6499,0.79039,8.89E-07,53.52112676,36.61971831,9.85915493,0,0,0,0,0.444173333
25.57106,25.87294,2193.28003,0.75881,7.38E-07,50,39.28571429,7.142857143,3.571428571,0,0,0,0.365380783
27.8263,28.08589,2475.63989,0.79148,9.25E-07,54.16666667,37.5,8.333333333,0,0,0,0,0.459094788
25.74682,26.03906,2176.33008,0.76268,6.97E-07,48.14814815,37.03703704,11.11111111,3.703703704,0,0,0,0.346575098
24.29876,24.85702,4905.41992,0.86639,1.77E-06,54.54545455,27.27272727,7.272727273,10.90909091,0,0,0,0.865245547
8.24197,9.93956,4897.37012,0.7997,1.01E-06,56.60377358,32.0754717,7.547169811,0,0,3.773584906,0,0.494893156
8.24197,9.93956,4897.37012,0.7997,1.01E-06,56.60377358,32.0754717,7.547169811,0,0,3.773584906,0,0.495748203
24.81518,25.07846,2244.46997,0.7598,7.61E-07,52,40,4,0,0,0,4,0.379589981
38.04305,38.19773,2399.87988,0.82307,1.11E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,0.549951576
13.28883,13.57896,3916.44995,0.76002,1.00E-06,52,40,4,4,0,0,0,0.494266578
30.76962,30.9719,2415.06006,0.80164,9.24E-07,57.14285714,38.0952381,4.761904762,0,0,0,0,0.454807276
16.50094,16.85758,6083.66992,0.79999,1.27E-06,57.14285714,38.0952381,4.761904762,0,0,0,0,0.631277387
11.58813,12.00768,1495.90002,0.61646,4.31E-07,55,35,5,5,0,0,0,0.214096694
17.58148,17.83307,2045.18005,0.69869,6.50E-07,56.96202532,37.97468354,5.063291139,0,0,0,0,0.32371705
18.99929,19.28654,1973.06995,0.70872,6.13E-07,58.62068966,37.93103448,3.448275862,0,0,0,0,0.302812365
27.51509,27.7276,2205.48999,0.75964,7.69E-07,48.71794872,41.02564103,5.128205128,2.564102564,0,0,2.564102564,0.383725486
23.542,23.77902,1892.87,0.729,6.30E-07,50,37.5,8.333333333,0,0,0,4.166666667,0.312953716
4.4389,5.57979,1898.06995,0.62632,6.43E-07,55.55555556,33.33333333,11.11111111,0,0,0,0,0.317007226
29.5867,29.76499,2066.01001,0.78345,8.13E-07,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,0.402772098
28.13916,28.40894,1988.83997,0.76277,7.02E-07,51.85185185,40.74074074,7.407407407,0,0,0,0,0.348358267
14.94592,15.43792,1651.31995,0.64708,3.92E-07,51.2195122,41.46341463,7.317073171,0,0,0,0,0.192659673
8.77028,9.30995,1081.20996,0.52257,2.91E-07,50,28.57142857,7.142857143,7.142857143,7.142857143,0,0,0.142812253
20.88935,21.15732,1578.71997,0.6936,4.98E-07,55.55555556,22.22222222,11.11111111,11.11111111,0,0,0,0.249425455
18.74247,19.03732,2020.80005,0.71504,6.42E-07,58.62068966,37.93103448,3.448275862,0,0,0,0,0.318410945
16.38321,16.69169,1676.73999,0.64405,5.17E-07,61.53846154,38.46153846,0,0,0,0,0,0.255998138
11.62102,12.05791,1695.35999,0.62837,4.28E-07,55.55555556,33.33333333,11.11111111,0,0,0,0,0.212820416
7.57497,8.18381,1044.51001,0.50914,5.34E-07,53.33333333,36.66666667,6.666666667,0,0,0,3.333333333,0.26492479
14.57249,14.91078,1506.82996,0.63036,4.28E-07,50,20,0,15,10,0,5,0.211597342
20.93119,21.11229,1948.55005,0.68795,5.97E-07,55.17241379,20.68965517,0,13.79310345,6.896551724,0,3.448275862,0.293578515
21.06635,21.37339,1989.25,0.71635,5.73E-07,59.25925926,29.62962963,7.407407407,0,0,0,3.703703704,0.282127774
12.36421,12.71087,1272.20996,0.57985,7.06E-07,55.55555556,22.22222222,0,11.11111111,5.555555556,0,5.555555556,0.349854856
24.64043,24.84212,1538.44995,0.72837,6.48E-07,56.25,18.75,0,12.5,6.25,0,6.25,0.321182845
36.44792,36.62567,2082.1499,0.81324,1.00E-06,55.55555556,29.62962963,0,11.11111111,3.703703704,0,0,0.496085946
27.09128,27.2649,2301.09009,0.77957,8.37E-07,52,40,4,4,0,0,0,0.416846982
27.93603,28.36879,4464.77002,0.87336,1.78E-06,55.76923077,26.92307692,0,11.53846154,5.769230769,0,0,0.8866375
22.59156,22.84761,1797.48999,0.74526,6.54E-07,50,21.42857143,14.28571429,7.142857143,0,0,7.142857143,0.325143055
12.65159,13.08543,2429.46997,0.73592,6.34E-07,53.48837209,34.88372093,9.302325581,2.325581395,0,0,0,0.315493562
20.37757,20.70945,2432.20996,0.75802,6.39E-07,42.10526316,36.84210526,10.52631579,10.52631579,0,0,0,0.314899919
23.7649,24.00488,2335.23999,0.76087,7.86E-07,56.25,37.5,6.25,0,0,0,0,0.388756565
16.10076,16.34232,1978.14001,0.64396,4.72E-07,43.47826087,39.13043478,8.695652174,8.695652174,0,0,0,0.231612348
16.9597,17.26716,2094.8501,0.67586,4.85E-07,43.47826087,39.13043478,8.695652174,8.695652174,0,0,0,0.241638742
18.74906,19.01356,1250.66003,0.65563,3.38E-07,43.47826087,39.13043478,8.695652174,8.695652174,0,0,0,0.16795055
19.56542,19.82916,1862.77002,0.70218,5.63E-07,42.10526316,36.84210526,10.52631579,10.52631579,0,0,0,0.279505264
20.70572,20.83582,2145.6001,0.7336,6.05E-07,42.10526316,36.84210526,10.52631579,10.52631579,0,0,0,0.300903338
15.56387,15.8315,1903.48999,0.63037,4.80E-07,40,44,8,8,0,0,0,0.235837433
16.95967,17.26725,2094.8501,0.67586,4.85E-07,43.47826087,39.13043478,8.695652174,8.695652174,0,0,0,0.23842605
18.7193,18.98333,1250.22998,0.65552,3.38E-07,43.47826087,39.13043478,8.695652174,8.695652174,0,0,0,0.167632585
14.93228,15.42068,2083.06006,0.68401,6.22E-07,54.92957746,38.02816901,7.042253521,0,0,0,0,0.309546286
16.79646,17.19289,2114.07007,0.70527,6.63E-07,56.96202532,37.97468354,5.063291139,0,0,0,0,0.325402336
8.11322,8.37051,1281.01001,0.5404,3.58E-07,45.83333333,37.5,14.58333333,0,0,2.083333333,0,0.176684011
8.8773,9.10983,2752.65991,0.69732,6.36E-07,56,28,8,8,0,0,0,0.317180801
28.33863,28.48026,2034.71997,0.7628,7.82E-07,48.48484848,39.39393939,6.060606061,6.060606061,0,0,0,0.386806476
34.66495,34.74847,2040.41003,0.79378,9.07E-07,48.27586207,37.93103448,6.896551724,6.896551724,0,0,0,0.452165583
28.21856,28.36846,2078.56006,0.76298,7.97E-07,45.71428571,42.85714286,5.714285714,5.714285714,0,0,0,0.394429735
22.55143,22.78255,2096.11011,0.71241,6.74E-07,42.85714286,45.23809524,4.761904762,4.761904762,0,0,2.380952381,0.335735369
19.29739,19.60248,2113.45996,0.71565,6.74E-07,58.62068966,37.93103448,3.448275862,0,0,0,0,0.334042086
18.29271,18.80244,1992.07996,0.70602,6.05E-07,57.14285714,35.71428571,7.142857143,0,0,0,0,0.297822245
10.36487,10.81315,1412.91003,0.58206,3.69E-07,50,37.5,10.71428571,0,0,1.785714286,0,0.182361356
14.74722,15.09602,1866.30005,0.67714,5.54E-07,52.17391304,34.7826087,8.695652174,4.347826087,0,0,0,0.276298079
13.21513,13.58611,1387.30005,0.58393,3.59E-07,53.33333333,33.33333333,6.666666667,6.666666667,0,0,0,0.177094367
16.90565,17.16309,2328.71997,0.73315,7.60E-07,49.27536232,39.13043478,5.797101449,5.797101449,0,0,0,0.373824287
10.31186,10.74049,1383.64001,0.58599,3.46E-07,60,30,10,0,0,0,0,0.169965381
28.42066,28.5848,2015.31006,0.75785,7.27E-07,45.16129032,38.70967742,9.677419355,6.451612903,0,0,0,0.361558446
10.29935,10.74822,1360.73999,0.58752,3.50E-07,47.16981132,33.96226415,16.98113208,0,0,1.886792453,0,0.172550254
11.68196,12.07255,1561.03003,0.59834,4.38E-07,52.17391304,26.08695652,17.39130435,0,0,0,4.347826087,0.216010972
21.85306,22.19192,2624.06006,0.74832,7.02E-07,46.875,43.75,3.125,3.125,0,0,3.125,0.350279236
16.55631,16.69084,2356.3501,0.72162,7.27E-07,54.54545455,40.90909091,4.545454545,0,0,0,0,0.35978447
19.83084,20.07417,2064.55005,0.73589,8.12E-07,56.25,40.625,3.125,0,0,0,0,0.402173126
14.96924,15.41147,1938.79004,0.66975,5.97E-07,54.92957746,38.02816901,7.042253521,0,0,0,0,0.291942608
16.26602,16.67361,2131.90991,0.70402,6.08E-07,56.96202532,37.97468354,5.063291139,0,0,0,0,0.301090338
15.36758,15.76388,1810.34998,0.68822,6.21E-07,55.26315789,35.52631579,9.210526316,0,0,0,0,0.307432095
19.25408,20.34648,4395.37012,0.8146,1.19E-06,55.68181818,36.36363636,7.954545455,0,0,0,0,0.59397108
14.55347,15.19586,2288.90991,0.71468,6.93E-07,54.92957746,38.02816901,7.042253521,0,0,0,0,0.341954583
15.85733,16.11386,1812.71997,0.68801,6.58E-07,56.41025641,37.17948718,6.41025641,0,0,0,0,0.321539836
25.47826,25.67443,1828.65002,0.75441,7.29E-07,50,33.33333333,11.11111111,5.555555556,0,0,0,0.36039973
14.94037,15.46864,2814.65991,0.70043,5.89E-07,44.44444444,44.44444444,2.777777778,8.333333333,0,0,0,0.291977528
22.64663,22.85845,1715.53003,0.71193,6.24E-07,52.94117647,35.29411765,5.882352941,5.882352941,0,0,0,0.308922192
31.3507,31.51253,2261.34009,0.79155,9.34E-07,60,35,5,0,0,0,0,0.46290938
11.97745,12.44176,4658.93994,0.77395,9.27E-07,57.14285714,33.33333333,4.761904762,0,0,4.761904762,0,0.450701737
32.98954,33.17197,2545.82007,0.82105,1.09E-06,57.89473684,31.57894737,5.263157895,5.263157895,0,0,0,0.54695416
20.88746,21.0995,1407.05005,0.68956,4.87E-07,50,18.75,12.5,18.75,0,0,0,0.241064347
28.1713,28.37474,2246.47998,0.77384,8.94E-07,54.16666667,41.66666667,4.166666667,0,0,0,0,0.442096179
26.34024,26.55682,2243.38989,0.75736,7.73E-07,52,40,4,4,0,0,0,0.383281149
22.0542,22.18069,1704.53003,0.71753,5.66E-07,47.36842105,36.84210526,10.52631579,5.263157895,0,0,0,0.279580773
17.73555,18.05831,1334.54004,0.63922,3.56E-07,45.83333333,37.5,8.333333333,8.333333333,0,0,0,0.178579281
21.15099,21.41237,1516.95996,0.69367,4.97E-07,47.36842105,26.31578947,10.52631579,15.78947368,0,0,0,0.248581867
