PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KCH4 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,CH4-0.1 bar (mol/kg)
13.70357,14.0752,1601.26,0.63478,7.55E-06,50,20,0,20,10,0,0,0.075269434
27.14113,34.56119,7623.71,0.90746,7.04E-06,57.63546798,38.42364532,3.9408867,0,0,0,0,0.070423319
5.40897,9.86824,4214.86,0.72396,1.09E-05,39.48339483,44.2804428,0,8.856088561,7.380073801,0,0,0.107361672
9.26179,9.35855,3254.74,0.72776,7.95E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,0.080741047
4.33795,4.58342,399.366,0.46242,2.34E-05,56.16438356,38.35616438,5.479452055,0,0,0,0,0.219668482
8.87996,8.97856,1869.59,0.62822,1.42E-05,56.16438356,38.35616438,5.479452055,0,0,0,0,0.140588316
4.09217,4.35137,258.579,0.43584,2.85E-05,56.16438356,38.35616438,5.479452055,0,0,0,0,0.263779375
12.74558,13.0458,1134.58,0.5562,1.54E-05,66.66666667,13.33333333,6.666666667,13.33333333,0,0,0,0.149806651
12.78481,13.08945,1111.54,0.59634,1.16E-05,64.28571429,14.28571429,7.142857143,14.28571429,0,0,0,0.113718279
8.28768,8.45131,1791.81,0.62786,3.31E-06,56.98924731,38.70967742,4.301075269,0,0,0,0,0.032852126
18.69066,20.45335,3980.38,0.81322,2.93E-05,56.60377358,35.8490566,7.547169811,0,0,0,0,0.248608057
30.82882,31.00347,2234.24,0.78856,3.80E-06,52.38095238,38.0952381,4.761904762,4.761904762,0,0,0,0.037469516
23.14657,23.37377,2027.01,0.74468,3.87E-06,50,37.5,6.25,6.25,0,0,0,0.038274956
16.8085,17.19339,2642.36,0.72696,6.00E-06,40.90909091,40.90909091,9.090909091,9.090909091,0,0,0,0.059684963
32.26851,32.49748,2597.35,0.82036,2.88E-06,46.875,40.625,6.25,6.25,0,0,0,0.028657747
21.98706,22.24941,1742.73,0.7308,4.54E-06,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,0.045275149
23.64538,23.86875,1697.67,0.72312,3.96E-06,56.25,25,0,12.5,6.25,0,0,0.039554295
8.56216,9.14896,1114.65,0.53162,9.63E-06,57.14285714,21.42857143,0,14.28571429,7.142857143,0,0,0.096404711
24.14836,24.38426,1743.58,0.73324,3.93E-06,57.14285714,30.15873016,3.174603175,6.349206349,3.174603175,0,0,0.038461848
16.21639,16.54198,1595.7,0.65038,3.78E-06,58.33333333,29.16666667,0,8.333333333,4.166666667,0,0,0.037473936
17.28794,17.6262,1612.52,0.67756,1.02E-05,62.22222222,28.88888889,4.444444444,0,0,0,4.444444444,0.099727534
25.30476,25.68704,2252.6,0.7401,6.81E-06,56.75675676,37.83783784,5.405405405,0,0,0,0,0.067683428
18.04318,18.33921,2142.94,0.68034,2.70E-06,41.66666667,37.5,8.333333333,12.5,0,0,0,0.026875439
25.21035,25.45912,2597.93,0.79384,3.08E-06,46.66666667,33.33333333,13.33333333,6.666666667,0,0,0,0.030654707
10.98125,12.52501,5102.7,0.75934,1.73E-05,56.52173913,38.04347826,5.434782609,0,0,0,0,0.171069345
10.12633,11.59954,3831.24,0.71288,1.39E-05,55.55555556,37.5,6.944444444,0,0,0,0,0.135744748
31.98616,32.11213,2477.4,0.77316,5.51E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,0.055386873
21.24887,21.39035,1375.09,0.62376,3.86E-06,54.05405405,35.13513514,5.405405405,5.405405405,0,0,0,0.03881836
16.83337,17.12286,2390.91,0.70752,3.82E-06,54.54545455,36.36363636,9.090909091,0,0,0,0,0.037675553
24.86871,25.35566,3444.92,0.8318,4.59E-06,53.04878049,38.41463415,4.87804878,0,0,0,3.658536585,0.045149023
9.65747,11.09613,2283.27,0.67046,3.92E-06,53.19148936,42.55319149,4.255319149,0,0,0,0,0.039253012
14.64627,14.87352,2607.7,0.72348,4.80E-06,59.09090909,38.63636364,2.272727273,0,0,0,0,0.048234067
26.94167,27.1243,1677.46,0.75146,3.03E-06,55,25,10,0,0,10,0,0.030293301
9.7242,10.56229,782.175,0.5707,2.37E-06,38.23529412,23.52941176,5.882352941,5.882352941,0,26.47058824,0,0.023850385
23.89316,24.1474,2102,0.70558,5.47E-06,56.09756098,37.80487805,6.097560976,0,0,0,0,0.05417587
16.82414,17.17805,1684.24,0.59818,6.42E-06,52.27272727,38.63636364,4.545454545,4.545454545,0,0,0,0.063008026
9.74184,10.18081,1301.04,0.57538,5.19E-06,42.85714286,28.57142857,14.28571429,14.28571429,0,0,0,0.051839281
13.58509,14.58188,2747.7,0.70796,3.87E-06,44.82758621,48.27586207,3.448275862,3.448275862,0,0,0,0.038623316
21.34032,21.55177,1674.5,0.70852,3.42E-06,40,35,10,15,0,0,0,0.034205434
9.06841,9.51608,600.981,0.48302,2.66E-06,55.07246377,37.68115942,7.246376812,0,0,0,0,0.026285786
15.60159,15.98839,2205.43,0.70816,3.68E-06,54.54545455,36.36363636,9.090909091,0,0,0,0,0.036422485
8.40883,9.02368,482.236,0.52898,3.48E-06,37.5,46.875,6.25,6.25,0,0,3.125,0.035134628
10.67786,11.16226,1488.03,0.59456,3.97E-06,61.9047619,33.33333333,4.761904762,0,0,0,0,0.03969696
35.49808,35.70981,2538.44,0.83738,3.71E-06,50.94339623,37.73584906,7.547169811,3.773584906,0,0,0,0.037362528
11.24578,11.69348,1860.91,0.61976,4.36E-06,57.14285714,35.71428571,7.142857143,0,0,0,0,0.043930944
17.10247,17.40167,927.31,0.52224,2.53E-06,51.35135135,40.54054054,8.108108108,0,0,0,0,0.025210057
22.83776,23.86923,6014.09,0.8601,1.18E-05,54.23728814,30.50847458,0,10.16949153,5.084745763,0,0,0.118180184
25.24971,25.75548,3913,0.84754,5.05E-06,54.375,36.875,5,0,0,0,3.75,0.051119894
23.81541,24.06097,1831.5,0.72056,2.52E-06,61.11111111,33.33333333,5.555555556,0,0,0,0,0.02537212
32.05739,32.23268,1966.39,0.77422,2.70E-06,60.86956522,34.7826087,4.347826087,0,0,0,0,0.026742839
16.88399,17.68947,4042.07,0.81256,5.00E-06,41.83673469,51.02040816,5.102040816,2.040816327,0,0,0,0.049376913
38.02857,38.18266,2421.47,0.82272,3.40E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,0.034746507
38.73241,38.88744,2573.21,0.84332,4.05E-06,52.72727273,34.54545455,9.090909091,3.636363636,0,0,0,0.041143538
37.56498,37.65744,3106.64,0.85454,4.17E-06,53.84615385,34.61538462,7.692307692,3.846153846,0,0,0,0.041713964
26.35383,26.54457,2082.13,0.76606,2.93E-06,51.35135135,29.72972973,13.51351351,5.405405405,0,0,0,0.028869091
25.82277,26.05323,2077.82,0.77472,4.37E-06,50,33.33333333,11.11111111,5.555555556,0,0,0,0.043522132
38.80415,38.87485,2607.72,0.80212,5.38E-06,57.89473684,38.59649123,3.50877193,0,0,0,0,0.053919587
12.63935,13.00429,1699.8,0.64652,3.87E-06,52,28,12,8,0,0,0,0.038652772
19.01338,19.17626,2119.45,0.73848,3.86E-06,47.5,35,10,7.5,0,0,0,0.038969995
27.09758,27.20545,2190.75,0.78752,3.63E-06,47.5,35,10,5,0,0,2.5,0.035698955
38.96494,39.10948,2611.01,0.83528,3.92E-06,54.16666667,37.5,8.333333333,0,0,0,0,0.039476258
25.97265,26.20447,2379.75,0.76662,3.97E-06,56,40,4,0,0,0,0,0.040558783
21.23186,21.48053,2260.29,0.773,3.35E-06,53.06122449,36.73469388,7.142857143,3.06122449,0,0,0,0.034373631
23.07162,23.97144,5034.96,0.85508,2.95E-05,52.45901639,34.42622951,9.836065574,3.278688525,0,0,0,0.249942799
10.6711,11.55953,1045.28,0.57244,1.19E-05,54.54545455,39.39393939,6.060606061,0,0,0,0,0.113629607
18.67205,18.83659,1507.46,0.65308,4.64E-06,52.63157895,31.57894737,0,10.52631579,5.263157895,0,0,0.046054242
8.40705,8.94082,993.066,0.5077,7.37E-06,57.14285714,28.57142857,14.28571429,0,0,0,0,0.073158441
10.55911,10.99477,1241.18,0.55678,3.62E-06,60,30,10,0,0,0,0,0.036111603
6.02452,6.73972,1007.55,0.52324,2.23E-05,50,25,25,0,0,0,0,0.210994859
21.99696,22.25586,1733.44,0.72906,4.59E-06,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,0.045976582
14.85314,15.16267,1485.39,0.64318,4.11E-06,50,25,8.333333333,16.66666667,0,0,0,0.041091517
15.82205,16.14031,1634.8,0.66114,3.61E-06,50,33.33333333,8.333333333,8.333333333,0,0,0,0.035735956
19.03653,19.28003,1547.81,0.69218,5.08E-06,54.54545455,18.18181818,6.060606061,12.12121212,6.060606061,0,3.03030303,0.05148615
21.82001,22.09147,1891.18,0.73434,3.74E-06,55.55555556,33.33333333,5.555555556,5.555555556,0,0,0,0.037264533
21.37753,30.82847,6958.99,0.93212,6.86E-06,61.29032258,25.80645161,0,8.602150538,4.301075269,0,0,0.068557344
27.50721,27.70127,1782.77,0.74908,3.39E-06,61.11111111,22.22222222,0,11.11111111,5.555555556,0,0,0.033796147
31.42483,31.59639,1787.64,0.7723,4.19E-06,65,20,0,10,5,0,0,0.042090203
30.33059,30.47384,1932.9,0.78676,8.06E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.081448627
28.94654,29.02379,2148.74,0.78628,2.98E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.029695183
29.44973,29.61979,2207.3,0.78594,3.12E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.031518337
19.00554,19.13609,1806.59,0.71216,4.37E-06,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,0.043793583
17.50947,17.74285,1762.18,0.70666,5.53E-06,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,0.055177307
17.39891,18.46813,4307.16,0.82422,2.81E-05,53.57142857,35.71428571,7.142857143,3.571428571,0,0,0,0.241995034
28.83791,28.97733,2055.84,0.78488,2.61E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,0.026168687
14.17588,16.11614,7251.58,0.90082,5.76E-06,46.34146341,39.02439024,4.87804878,4.87804878,4.87804878,0,0,0.057336112
14.1657,16.1092,6615.93,0.89698,5.37E-06,46.34146341,34.14634146,4.87804878,4.87804878,4.87804878,4.87804878,0,0.053622145
14.61444,15.22203,2323.71,0.7196,3.77E-06,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,0.037957326
16.38611,16.51752,1837.52,0.6725,4.82E-06,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,0.048182219
25.51863,25.62215,1965.11,0.74186,4.05E-06,50,41.56626506,4.21686747,4.21686747,0,0,0,0.040298755
24.38004,24.50349,1916.35,0.73354,4.34E-06,50,40.36144578,4.21686747,5.421686747,0,0,0,0.042519328
23.23817,23.31082,1877.56,0.73106,4.01E-06,49.70414201,40.82840237,4.142011834,5.325443787,0,0,0,0.040075047
23.9675,24.14077,1831.45,0.72804,3.38E-06,48.87640449,42.69662921,4.494382022,3.93258427,0,0,0,0.033925715
20.81745,20.94699,1447.82,0.68052,2.89E-06,46.22641509,44.33962264,3.773584906,5.660377358,0,0,0,0.029020144
19.26829,19.382,1464.14,0.67458,2.56E-06,45.87155963,43.11926606,3.669724771,7.339449541,0,0,0,0.025892289
4.91947,5.5683,609.527,0.4658,9.74E-06,45.53571429,43.75,3.571428571,7.142857143,0,0,0,0.094653953
39.68397,39.9305,2621.58,0.79732,3.94E-06,56.66666667,40,3.333333333,0,0,0,0,0.03891925
17.39813,17.54485,1499.4,0.68054,4.77E-06,57.69230769,27.88461538,8.653846154,5.769230769,0,0,0,0.047840035
42.80809,42.93816,1829.24,0.81612,4.11E-06,57.57575758,24.24242424,3.03030303,12.12121212,3.03030303,0,0,0.040956225
43.28884,43.42187,1934.87,0.82484,3.98E-06,56.66666667,23.33333333,3.333333333,13.33333333,3.333333333,0,0,0.039781802
10.03477,10.55423,1317.7,0.5808,3.82E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.037707215
10.03477,10.55423,1467.28,0.58566,3.98E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.039939075
10.03477,10.55423,1572.98,0.59568,3.62E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.035395607
7.62148,7.93604,1293.92,0.56012,3.65E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.036332229
27.14804,27.41489,2545.35,0.80114,3.50E-06,50,40,5,5,0,0,0,0.034606539
31.82555,31.90137,2323.9,0.76406,1.19E-05,57.44680851,38.29787234,4.255319149,0,0,0,0,0.115979823
32.86681,33.03455,2711.04,0.78798,7.45E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,0.073837381
16.93791,17.2286,1127.87,0.64998,2.00E-06,58.62068966,10.34482759,3.448275862,0,0,27.5862069,0,0.019832218
19.33361,19.49918,2091.09,0.72138,4.65E-06,57.57575758,36.36363636,6.060606061,0,0,0,0,0.046137092
24.69608,24.82012,2023.28,0.77204,3.83E-06,60.60606061,30.3030303,0,6.060606061,3.03030303,0,0,0.037625302
11.7271,12.13815,1151.15,0.58086,1.48E-06,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,0.014804824
11.85435,12.28175,1214.17,0.58532,2.17E-06,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,0.021852514
18.35805,18.71848,1683.52,0.6895,4.32E-06,54.90196078,29.41176471,3.921568627,7.843137255,3.921568627,0,0,0.04300419
9.11511,9.87643,1713.67,0.62662,4.59E-06,57.14285714,33.33333333,9.523809524,0,0,0,0,0.04630424
11.06222,11.37486,1677.68,0.61804,5.31E-06,57.79816514,35.77981651,6.422018349,0,0,0,0,0.052522831
10.72675,11.02482,1505.03,0.58464,4.52E-06,62.96296296,33.33333333,3.703703704,0,0,0,0,0.045087494
14.44901,15.66522,4062.67,0.80292,2.63E-05,56.66666667,33.33333333,6.666666667,3.333333333,0,0,0,0.22765971
41.05112,41.1773,2272.28,0.83222,4.45E-06,60.86956522,26.08695652,0,8.695652174,4.347826087,0,0,0.044156975
9.37583,11.01204,4872.89,0.793,2.97E-05,52.30769231,35.38461538,6.153846154,6.153846154,0,0,0,0.259338267
5.94566,7.11918,2019.34,0.61318,4.60E-06,57.89473684,36.84210526,5.263157895,0,0,0,0,0.046169242
14.43667,14.78901,1987.87,0.66862,4.06E-06,53.57142857,35.71428571,10.71428571,0,0,0,0,0.041121601
16.83791,17.15189,2411.8,0.71904,4.20E-06,56.66666667,33.33333333,10,0,0,0,0,0.042477076
15.00037,15.2073,2127.23,0.70194,4.03E-06,51.42857143,40,1.428571429,5.714285714,1.428571429,0,0,0.04042869
19.77262,22.16292,7094.57,0.90412,6.92E-06,56.25,25,12.5,6.25,0,0,0,0.069679632
9.18961,9.80273,1739.36,0.6184,2.83E-06,40,25,25,10,0,0,0,0.027813442
20.79435,21.19983,3846.24,0.83142,6.53E-06,59.57446809,36.17021277,4.255319149,0,0,0,0,0.065067675
16.15375,16.51788,1691.43,0.66724,5.90E-06,59.57446809,36.17021277,4.255319149,0,0,0,0,0.059092106
18.14826,18.49638,1732.61,0.68272,4.36E-06,57.89473684,31.57894737,5.263157895,5.263157895,0,0,0,0.043307325
7.26122,8.0558,1381.08,0.58616,7.26E-06,50.4587156,44.95412844,2.752293578,1.834862385,0,0,0,0.071184767
6.48996,7.45342,702.761,0.4803,1.83E-06,44.73684211,50,2.631578947,2.631578947,0,0,0,0.01839006
15.35482,15.85081,1728.24,0.66142,2.35E-06,48.93617021,48.93617021,2.127659574,0,0,0,0,0.023360487
35.71819,35.86719,2366.26,0.80666,2.33E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,0.02309931
25.41555,25.64462,2270.49,0.7851,3.37E-06,56.41025641,35.8974359,5.128205128,0,0,0,2.564102564,0.033980886
32.79335,33.01596,2559.5,0.83286,3.18E-06,56.52173913,34.7826087,4.347826087,0,0,0,4.347826087,0.032432791
9.54557,9.60069,821.238,0.45824,1.88E-06,48.10810811,49.72972973,2.162162162,0,0,0,0,0.018504636
13.11194,13.17228,1032.13,0.51894,2.58E-06,50.24875622,47.76119403,1.990049751,0,0,0,0,0.025809187
10.59437,12.48955,8339.6,0.88504,5.91E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,0.059167422
9.58065,10.43778,8105.77,0.83242,7.00E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,0.070641789
24.61711,29.01327,8684.09,0.94858,7.72E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,0.077718727
10.07551,12.06451,8233.61,0.8788,6.01E-06,52.13675214,41.02564103,3.418803419,3.418803419,0,0,0,0.060255389
9.7459,10.65907,8177.69,0.82438,7.26E-06,52.13675214,41.02564103,3.418803419,3.418803419,0,0,0,0.073063215
24.10888,28.27167,8780.71,0.94386,7.56E-06,52.13675214,41.02564103,3.418803419,3.418803419,0,0,0,0.075837723
8.66317,9.76361,7545.81,0.8085,7.50E-06,50.3875969,43.41085271,3.100775194,3.100775194,0,0,0,0.075453791
23.74486,28.52567,8254.16,0.94274,7.79E-06,50.3875969,43.41085271,3.100775194,3.100775194,0,0,0,0.0781832
26.74378,26.95282,2036.21,0.7663,3.88E-06,57.37704918,36.06557377,3.278688525,0,0,0,3.278688525,0.038259203
13.27242,13.43695,3165.78,0.74132,5.15E-06,60.6557377,32.78688525,3.278688525,0,0,0,3.278688525,0.051625742
